,name,lat&lng,distance,drivingtime
0,5841 Forward Ave,"['40.4296037', '-79.921613']",3.5 km,10 mins
1,1001 Parkview Blvd,"['40.424659', '-79.91083069999999']",4.7 km,12 mins
2,1927 Murray Ave,"['40.4351939', '-79.92269999999999']",2.8 km,7 mins
3,2327 Eldridge St,"['40.4307494', '-79.9221615']",3.5 km,10 mins
4,5807 Bartlett St,"['40.4362513', '-79.9223528']",2.6 km,7 mins
5,5673 Hobart St Unit 11,"['40.432947', '-79.92474899999999']",2.7 km,7 mins
6,1914 Murray Ave,"['40.43552409999999', '-79.92313299999999']",2.8 km,7 mins
7,2123 Shady Ave,"['40.4338308', '-79.918026']",3.3 km,8 mins
8,5620 Hobart St,"['40.4324247', '-79.9265721']",2.6 km,7 mins
